primary_genre,period,Sales
Crime,1/1/1980,$61 
Crime,1/1/1981,$35 
Crime,1/1/1982,$0 
Crime,1/1/1983,$47 
Crime,1/1/1984,$36 
Crime,1/1/1985,$68 
Crime,1/1/1986,$122 
Crime,1/1/1987,$232 
Crime,1/1/1988,$136 
Crime,1/1/1989,$72 
Crime,1/1/1990,$239 
Crime,1/1/1991,$523 
Crime,1/1/1992,$119 
Crime,1/1/1993,$337 
Crime,1/1/1994,$71 
Crime,1/1/1995,$732 
Crime,1/1/1996,$774 
Crime,1/1/1997,$417 
Crime,1/1/1998,$322 
Crime,1/1/1999,$368 
Crime,1/1/2000,$388 
Crime,1/1/2001,$625 
Crime,1/1/2002,$638 
Crime,1/1/2003,$204 
Crime,1/1/2004,$171 
Crime,1/1/2005,$447 
Crime,1/1/2006,$376 
Crime,1/1/2007,$1 
Crime,1/1/2008,$130 
Crime,1/1/2009,$124 
Crime,1/1/2010,$336 
Crime,1/1/2011,$344 
Crime,1/1/2012,$501 
Crime,1/1/2013,$705 
Crime,1/1/2014,$421 
Crime,1/1/2015,$1 
Crime,1/1/2016,$629 
Documentary,1/1/1980,$0 
Documentary,1/1/1981,$0 
Documentary,1/1/1982,$1 
Documentary,1/1/1983,$30 
Documentary,1/1/1984,$4 
Documentary,1/1/1985,$0 
Documentary,1/1/1986,$0 
Documentary,1/1/1987,$0 
Documentary,1/1/1988,$737 
Documentary,1/1/1989,$7 
Documentary,1/1/1990,$4 
Documentary,1/1/1991,$29 
Documentary,1/1/1992,$0 
Documentary,1/1/1993,$449 
Documentary,1/1/1994,$11 
Documentary,1/1/1995,$87 
Documentary,1/1/1996,$4 
Documentary,1/1/1997,$1 
Documentary,1/1/1998,$269 
Documentary,1/1/1999,$6 
Documentary,1/1/2000,$23 
Documentary,1/1/2001,$22 
Documentary,1/1/2002,$102 
Documentary,1/1/2003,$39 
Documentary,1/1/2004,$48 
Documentary,1/1/2005,$130 
Documentary,1/1/2006,$49 
Documentary,1/1/2007,$136 
Documentary,1/1/2008,$9 
Documentary,1/1/2009,$42 
Documentary,1/1/2010,$33 
Documentary,1/1/2011,$160 
Documentary,1/1/2012,$70 
Documentary,1/1/2013,$4 
Documentary,1/1/2014,$6 
Documentary,1/1/2015,$30 
Documentary,1/1/2016,$243 
Drama,1/1/1980,$179 
Drama,1/1/1981,$305 
Drama,1/1/1982,$609 
Drama,1/1/1983,$243 
Drama,1/1/1984,$473 
Drama,1/1/1985,$776 
Drama,1/1/1986,$490 
Drama,1/1/1987,$478 
Drama,1/1/1988,$735 
Drama,1/1/1989,$810 
Drama,1/1/1990,$785 
Drama,1/1/1991,$862 
Drama,1/1/1992,$933 
Drama,1/1/1993,$2 
Drama,1/1/1994,$834 
Drama,1/1/1995,$1 
Drama,1/1/1996,$1 
Drama,1/1/1997,$3 
Drama,1/1/1998,$1 
Drama,1/1/1999,$1 
Drama,1/1/2000,$1 
Drama,1/1/2001,$1 
Drama,1/1/2002,$2 
Drama,1/1/2003,$2 
Drama,1/1/2004,$2 
Drama,1/1/2005,$2 
Drama,1/1/2006,$3 
Drama,1/1/2007,$2 
Drama,1/1/2008,$3 
Drama,1/1/2009,$2 
Drama,1/1/2010,$3 
